штрафной батальон на 3 месяца;1
вынесен оправдательный приговор за отсутствием доказательств преступной деятельности.;1
вынесен оправдательный приговор.;1
вынесено постановление о прекращении уголовного дела и освобождении из-под стражи.;1
вынесено постановление об освобождении обвиняемого из-под стражи в связи с малозначительностью добытых материалов.;1
выселение;1
освоб. 22.01.55;1
освоб. 22.01.45;1
освоб. 21.12.45;1
освоб. 21.12.39;1
выселение из прифронтовой полосы;1
выслан в башкирию на 5 лет;1
вынесен оправдательный приговор за недоказанностью обвинения.;1
освоб. 21.12.1945;1
освоб. 21.11.61;1
освоб. 21.11.46;1
освоб. 21.11.39;1
освоб. 21.11.38;1
освоб. 21.11.1946;1
освоб. 21.11.1945;1
освоб. 21.11.1941;1
выслан в севкрай по 2-ой катег.;1
выслан в севкрай по 2-ой категор.;1
выслан в севкрай по 3-й катег.;1
выслан в севкрай сроком на 3 г.;1
освоб. 21.12.1941;1
освоб. 21.10.44;1
вынесен оправдательный приговор в связи с недоказанностью обвинения.;1
выдворен из ссср в польшу;1
вмн. 06.06.1942 года-верховной коллегией верховного суда ссср вмн заменена 10 годами л.с.;1
вмн. 12.09.31г. ос огпу приговор изменен на 3 г. итл. (белбалтлаг) 10.03.33г. ос огпу выслан в северный край на 3 года.;1
вмн. 14.02.1945г. верховным судом ссср заменена 20 годами каторжных работ;1
вмн. 30.12.38г. определением военной коллегии верх.суда ссср действия шевко переквалиф.на ст.24-68 ук бсср и опред.мера наказ.8 лет итл с пораж.в правах на 4г.;1
вмн. мера наказания изменена: 8 лет итл. освоб.: 31.01.1949;1
вмн. определением военной коллегии верховного суда ссср от 16.04.37г. мера наказания изменена на 10 лет итл;1
вмн. по протесту председателя верх.суда ссср определением воен.коллегии верховного суда ссср от 24 марта 1945 г. расстрел заменен 10 годами лишения свободы.;1
"вмн. повт.пост. коллегии огпу от 13.03.1932 г. решение ""тройки"" заменено заключением в итл сроком на 10 лет.";1
вмн. приговор в исполнение не приведен. 11.01.40 г. изменен на 3 года итл.;1
освоб. 22.03.1939;1
вмн. семья выслана в сев. край.;1
выдворение за пределы ссср;1
водворен к месту ссылки;1
освоб. 22.02.41;1
освоб. 22.02.1946;1
водворение на место ссылки;1
возвр.к прежнему месту высылки;1
освоб. 22.02.1934;1
воспретить проживание в 6 пунктах на 3 года.;1
всылка;1
всылка в сибирь;1
выдворен;1
выдворен за пред.ссср;1
выдворен за пределы ссср;1
освоб. 22.02.46;1
вмн. 01.07.1939 президиумом вс ссср вмн заменена 20 годами л.с.;1
выслан в сибирь в порядке асэ;1
освоб. 21.10.1946;1
освоб. 21.08.1945;1
выслыыка (срок не указан);1
высшая мера наказания;1
освоб. 21.08.1920;1
освоб. 21.07.46;1
освоб. 21.07.1949;1
высылка (рок не указан);1
высылка (срое не указан);1
освоб. 21.06.1934;1
высылка (срок не указан) по 2 к.;1
высылка (срок не указан) с семьей, конфискация имущества;1
выслка на 3 года в севкрай, конфискация имущества;1
освоб. 21.05.45;1
высылка (сроке не указан);1
высылка (условно);1
высылка из г.витебска;1
высылка к семье;1
высылка на 3 г.в сев.кр, конфискация имущества;1
освоб. 21.05.1939;1
освоб. 21.04.1945;1
освоб. 21.04.1938;1
высылка на 3 года, конфискация имущества;1
освоб. 21.03.47;1
высылка на 5 лет в казахстан;1
освоб. 21.05.1946;1
выслан в сибирь на 3 года;1
выслать обратно в польшу;1
выслать из ссср;1
освоб. 21.10.1943;1
выслан за пределы бсср на 3 года;1
выслан к семье по 2-й категории;1
выслан на 3 года;1
выслан на поселение;1
выслан на поселение в красн.край;1
выслан на поселение на 3 года;1
выслан на поселении в каз.сср;1
выслан на урал;1
освоб. 21.09.46;1
выслан с семьей на урал;1
выслать к семье, высланной на урал.;1
выслан с семьею в сибирь;1
выслана;1
выслана в севкрай по 2-й катег.;1
освоб. 21.09.40;1
выслана к прежнему месту высылки;1
выслана на 3 года в севкрай;1
выслана на поселение;1
выслать;1
выслать в башкирию на 3 года;1
освоб. 21.09.1938;1
выслать за пределы ссср;1
выслать из пред.ссср под конвоем;1
выслан через пп огпу на 3 года;1
высылка на 5 лет, конфискация имущества;1
вмн, семью выслать на 3 года, конфискация имущества;1
вмн, сведений об исполнении приговора нет;1
в сибирь в порядке выселения ас 7;1
в срок наказания зачтен срок предварительного заключения, обвиняемый из-под стражи освобожден.;1
вернуть на место ссылки;1
вина не доказана, освобожден 11.02.1939;1
витебская комиссия малолетних;1
освоб. 22.06.1946;1
вмн (дело не сохранилось);1
вмн (заменен на 10 лет итл);1
вмн (заменена 10 годами итл);1
вмн (заменена на 10 лет итл);1
освоб. 22.05.47;1
освоб. 22.06.46;1
освоб. 22.05.46;1
вмн (не сохранилось архивное уголовное дело);1
вмн 21.03.45 замен.20 г. итл;1
вмн замена на 10 лет итл;1
вмн заменен на10 лет итл, конфискация имущества. освоб.: 01.52;1
вмн заменена 10 годами итл;1
вмн лиш.воинск.зв.майор, конфискация имущества;1
вмн с высылкой семьи в севкрай, конфискация имущества;1
освоб. 22.05.40;1
вмн(заменен на 10 лет итл), конфискация имущества;1
вмн, 08.12.35 зам.на 10 лет итл, конфискация имущества;1
вмн, 11.12.35 зам.на 10 лет итл, конфискация имущества;1
